Rank,Movie,Release Date,Distributor,Genre,2023 Gross,Tickets Sold
509,The Elephant 6 Recording Co.,"Aug 25, 2023",Greenwich,Documentary,"$14,000","1,298"
510,TS Eliot’s Four Quartets,"Apr 28, 2023",Kino Lorber,Concert/Perfor…,"$13,098","1,215"
511,The Sorrow and the Pity,"Mar 25, 1972",,Documentary,"$13,082","1,213"
512,Falcon Lake,"Jun 2, 2023",Yellow Veil Pictures,Drama,"$12,768","1,184"
513,Armageddon Time,"Oct 28, 2022",Focus Features,Drama,"$12,575","1,167"
514,Sympathy for the Devil,"Jul 28, 2023",RLJ Entertainment,Thriller/Suspense,"$11,990","1,112"
515,The Runner,"Dec 31, 1991",,Drama,"$11,826","1,097"
516,Passion,"Apr 14, 2023",Film Movement,Drama,"$11,770","1,091"
517,Beyond Utopia,"Oct 23, 2023",Fathom Events,Documentary,"$11,716","1,086"
518,Loren and Rose,"Jun 23, 2023",,Drama,"$10,514",975
519,Rebel,"Sep 15, 2023",Yellow Veil Pictures,Thriller/Suspense,"$10,500",974
520,Rare Objects,"Apr 14, 2023",IFC Films,Drama,"$10,454",969
521,God’s Time,"Feb 24, 2023",IFC Films,Thriller/Suspense,"$10,033",930
522,The Super 8 Years,"Dec 16, 2022",Kino Lorber,Documentary,"$9,184",851
523,"Film, the Living Record of …","Feb 27, 2023",Kino Lorber,Documentary,"$8,655",802
524,Framing Agnes,"Dec 2, 2022",Kino Lorber,Drama,"$8,630",800
525,Give Me Pity!,"Mar 3, 2023",Utopia,Comedy,"$8,572",795
526,At the Gates,"Nov 3, 2023",Picturehouse,Drama,"$8,448",783
527,The Kennedy Incident,"Dec 15, 2023",Indican Pictures,Thriller/Suspense,"$8,288",768
528,Lucy and Whitney,"Nov 3, 2023",Indican Pictures,Comedy,"$8,086",750
529,I Got a Monster,"Mar 10, 2023",Greenwich,Documentary,"$7,971",739
530,Utama,"Nov 4, 2022",Kino Lorber,Drama,"$7,966",738
531,CHAAW: Chapter 1,"Aug 11, 2023",,Comedy,"$7,920",734
532,"Black God, White Devil","Sep 25, 1971",,Adventure,"$7,826",725
533,Muzzle,"Sep 29, 2023",RLJ Entertainment,Thriller/Suspense,"$7,807",724
534,Coup de Torchon (Clean Slate),"Dec 20, 1982",,Drama,"$7,660",710
535,Gods of Mexico,"Mar 3, 2023",Oscilloscope Pict…,Documentary,"$7,031",652
536,The Innocent (1979) (Re-Rel…,"Feb 14, 2020",Film Movement,Drama,"$6,902",640
537,So Much Tenderness,"Jun 30, 2023",Mongrel Media,Drama,"$6,863",636
538,Leonor Will Never Die,"Nov 25, 2022",Music Box Films,Comedy,"$6,862",636
539,Love Life,"Aug 11, 2023",Oscilloscope Pict…,Drama,"$6,623",614
540,Between Two Worlds,"Aug 11, 2023",Cohen Media Group,Drama,"$6,360",589
541,The Man in the Basement,"Jan 27, 2023",Greenwich,Drama,"$6,095",565
542,Have You Got It Yet? The St…,"Jul 14, 2023",Abramorama Films,Documentary,"$6,015",557
543,Let it be Morning,"Feb 3, 2023",Cohen Media Group,Drama,"$6,000",556
544,What Comes Around,"Aug 4, 2023",IFC Films,Thriller/Suspense,"$5,935",550
545,The Dive,"Aug 25, 2023",IFC Films,Thriller/Suspense,"$5,914",548
546,The Crusades,"Jul 7, 2023",VMI Worldwide,Comedy,"$5,887",546
547,Kings of L.A.,"Jun 23, 2023",Indican Pictures,Action,"$5,880",545
548,Hands That Bind,"Nov 3, 2023",Dark Sky Films,Drama,"$5,729",531
549,The Monsters Without,"Apr 27, 2023",Indican Pictures,Horror,"$5,628",522
550,Pianoforte,"Dec 1, 2023",Greenwich,Documentary,"$5,500",510
551,Senior Year: Love Never Fails,"Sep 29, 2023",Atlas Distribution,Drama,"$5,470",507
552,Therapy Dogs,"Mar 10, 2023",Utopia,Reality,"$5,393",500
553,Rimini,"Mar 17, 2023",Big World Pictures,Comedy,"$5,219",484
554,How I Learned to Fly,"Dec 1, 2023",Film Movement,Drama,"$5,125",475
555,Tommy Guns,"Apr 12, 2023",Kino Lorber,Horror,"$5,085",471
556,Heretic,"Mar 3, 2023",Indican Pictures,Horror,"$5,002",464
557,Deliver Us,"Sep 29, 2023",Magnet Releasing,Horror,"$4,883",452
558,Life Upside Down,"Jan 27, 2023",IFC Films,Comedy,"$4,467",414
559,The Discreet Charm of the B…,"May 12, 2000",,Comedy,"$4,396",407
560,Last Night of Amore,"Jul 15, 2023",Focus World,Thriller/Suspense,"$3,865",358
561,Eight Deadly Shots,"Mar 31, 2023",Janus Films,Drama,"$3,776",350
562,Lord of Misrule,"Dec 8, 2023",Magnet Releasing,Horror,"$3,717",344
563,Jethica,"Jan 13, 2023",Cinedigm,Comedy,"$3,440",319
564,You’re All Gonna Die,"Nov 17, 2023",Indican Pictures,Horror,"$3,399",315
565,Bonded,"Oct 27, 2023",Breaking Glass Pi…,Horror,"$3,244",300
566,Please Baby Please,"Oct 28, 2022",Music Box Films,Musical,"$3,086",286
567,Landfill,"Nov 3, 2023",Indican Pictures,Adventure,"$3,020",280
568,Hockeyland,"Sep 9, 2022",Greenwich,Documentary,"$2,823",261
569,Bones and All,"Nov 23, 2022",United Artists,Thriller/Suspense,"$2,570",238
570,Bobby’s Intermission,"Sep 12, 2023",,Comedy,"$2,507",232
571,This Much We Know,"Nov 10, 2023",Oscilloscope Pict…,Documentary,"$2,296",212
572,Brainwashed: Sex-Camera-Power,"Oct 21, 2022",Kino Lorber,Documentary,"$1,890",175
573,Loudmouth,"Dec 9, 2022",Greenwich,Documentary,"$1,677",155
574,Operation Napoleon,"Aug 11, 2023",Magnet Releasing,Thriller/Suspense,"$1,618",150
575,Imagining the Indian: The F…,"Mar 31, 2023",The Ciesla Founda…,Documentary,"$1,380",128
576,Venus,"Mar 31, 2023",Sony Pictures,Horror,"$1,242",115
577,Christmas Bloody Christmas,"Dec 9, 2022",RLJ Entertainment,Horror,$812,75
578,Asedio,"Sep 29, 2023",Sony Pictures,Thriller/Suspense,$684,63
579,La marginale,"Sep 22, 2023",Sony Pictures,Drama,$539,50
580,Lowndes County and the Road…,"Dec 2, 2022",Greenwich,Documentary,$363,33
581,When Men Were Men,"Nov 4, 2022",Indican Pictures,Drama,$200,18
